Instrument,Date_CellName,SMRT cell Lot
r54015,20171222_004122/4_D01/m54015_171223_071608,322031
r54016,20171216_021515/3_C01/m54016_171216_223846,321833
r54015,20171028_023333/4_D01/m54015_171029_090401,321644
r54016,20171122_001230/6_F01/m54016_171124_053133,321974
r54016,20171122_001230/5_E01/m54016_171123_192157,321974
r54015,20171229_022242/3_C01/m54015_171229_224813,322031
r54016,20171219_230639/1_A01/m54016_171219_231439,322161
r54016,20171101_000045/2_B01/m54016_171101_101302,321203
r54015,20171111_013652/5_E01/m54015_171112_181922,322049
r54016,20171222_215956/6_F01/m54016_171225_005142,322031
r54016,20171101_000045/3_C01/m54016_171101_202423,322089
r54016,20171227_004423/1_A01/m54016_171227_005214,322031
r54016,20171216_021515/2_B01/m54016_171216_122926,321833
r54016,20171219_230639/4_D01/m54016_171221_053944,322161
r54016,20171216_021515/1_A01/m54016_171216_022308,321833
r54015,20171028_023333/3_C01/m54015_171028_225633,321630
r54015,20171028_023333/1_A01/m54015_171028_024134,321630
r54015,20180106_031424/3_C01/m54015_180106_233853,324037
r54015,20171227_012234/2_B01/m54015_171227_113709,322031
r54016,20171216_021515/5_E01/m54016_171217_185748,320961
r54015,20171111_013652/6_F01/m54015_171113_042859,322049
r54015,20171111_013652/3_C01/m54015_171111_220010,321986
r54016,20171213_012108/3_C01/m54016_171213_214456,321833
r54016,20171219_230639/3_C01/m54016_171220_193020,322161
r54016,20171101_000045/1_A01/m54016_171101_000840,321203
r54016,20171213_012108/4_D01/m54016_171214_075421,321833
r54016,20171122_001230/4_D01/m54016_171123_091238,321986
r54016,20171222_215956/3_C01/m54016_171223_182338,322049
r54015,20171028_023333/5_E01/m54015_171029_191526,321644
r54015,20171222_004122/1_A01/m54015_171222_004930,322031
r54016,20171101_000045/4_D01/m54016_171102_063154,322089
r54015,20180106_031424/1_A01/m54015_180106_032201,324037
r54016,20171216_021515/4_D01/m54016_171217_084820,321833
r54015,20171111_013652/4_D01/m54015_171112_081009,321986
r54016,20171219_230639/2_B01/m54016_171220_092101,322161
r54016,20171227_004423/4_D01/m54016_171228_072100,322031
r54016,20171122_001230/2_B01/m54016_171122_124350,321986
r54016,20171222_215956/7_G01/m54016_171225_110102,322031
r54015,20171222_004122/3_C01/m54015_171222_210605,322031
r54016,20171222_215956/4_D01/m54016_171224_043252,322049
r54016,20171213_012108/2_B01/m54016_171213_113525,321833
r54015,20180106_031424/2_B01/m54015_180106_132909,324037
r54015,20171028_023333/2_B01/m54015_171028_124452,321630
r54015,20171222_004122/2_B01/m54015_171222_105618,322031
r54016,20171216_021515/6_F01/m54016_171218_050715,322161
r54016,20171229_022255/3_C01/m54016_171230_010349,322021
