Instrument,Date_CellName,Lot No
r54016,20180203_020346/4_D01/m54016_180204_083733,322163
r54015,20180206_234535/5_E01/m54015_180208_163058,322163
r54016,20180130_005716/4_D01/m54016_180131_073201,322031
r54015,20180206_234535/3_C01/m54015_180207_201117,322161
r54016,20180130_005716/6_F01/m54016_180201_035108,322163
r54016,20180209_221555/4_D01/m54016_180211_045000,322161
r54016,20180209_221555/7_G01/m54016_180212_111848,322161
r54016,20180130_005716/2_B01/m54016_180130_111255,322031
r54015,20180203_023830/5_E01/m54015_180204_192325,322163
r54015,20180203_023830/1_A01/m54015_180203_024618,322161
r54016,20180209_221555/2_B01/m54016_180210_083039,322163
r54016,20180203_020346/2_B01/m54016_180203_121840,322163
r54016,20180203_020346/6_F01/m54016_180205_045641,322163
r54015,20180203_023830/3_C01/m54015_180203_230323,322163
r54016,20180206_231844/4_D01/m54016_180208_055251,322161
r54016,20180206_231844/6_F01/m54016_180209_021157,322049
